PRID,HONU,HBUP,HBDE,DIAH,DIAP,HODE,SCMO,SCDR,STTY,MINA,SDTO,STPC,CLPC,PSCL,PHAQ,PHKC,ELCO,EXCA,EXMG,EXNA,EXCK,EXAL,EXAC,CECS,TOTC,TOTN,TCEQ,GYPS,BULK,WR17,WR20,WR25,WR37,WR42,LATI,LNGI,LABO,ELEV
BYBr100C,1,0,25,UM,HU,Ah,2.5/5B,3/5B,G,N,70,30,0,SL,7.6,,,,,,,0,0,47.5,45,5.5,,,0.98,,,,,,51.98,27.57,BY01,150
BYBr100C,2,25,67,,GL,Bg,10YR4/2,10YR5/2,M,N,80,20,0,SL,7.9,,,,,,,0,0,45.5,10,0.9,,,1.47,,,,,,51.98,27.57,BY01,150
BYBr100C,3,67,172,,GL,Cg,5/5BG,5/10BG,M,N,65,35,0,SL,7.9,,,,,,,0,0,10,9,0.7,,,1.58,,,,,,51.98,27.57,BY01,150
BYBr1095,1,0,25,MO,HU,Ah,10YR4/1,10YR5/1,G,N,79,21,0,LS,5.4,,,,,,,,,35.1,37,3.1,0,0,1.17,,,,,,51.88,27.02,BY03,150
BYBr1095,2,25,60,,GL,Bg,10B5/1,10B6/1,M,V,95,5,0,S,5.7,,,,,,,,,5.5,1,0.1,,0,1.61,,,,,,51.88,27.02,BY03,150
BYBr1095,3,60,200,,GL,Cg,10B6/1,10B7/1,M,N,79,21,0,LS,5.8,,,,,,,,,6.9,,,,0,1.58,,,,,,51.88,27.02,BY03,150
BYBr115,1,0,15,,,Ah,5Y4/1,5Y5/1,M,V,93,4,3,S,4.5,,0,,,,,,,29.3,22,7.9,0,0,1.25,,,,,,52.28,27.25,BY01,165
BYBr115,2,15,23,,,E,5Y6/2,5Y7/2,M,V,90,4,6,S,4.2,,0,,,,,,,2.8,5,0.5,0,0,1.31,,,,,,52.28,27.25,BY01,165
BYBr115,3,23,45,SP,GL,Bhg,10YR3/3,10YR3/4,M,V,93,3,4,S,4.7,,,,,,,,,14.6,13,0.7,0,0,1.36,,,,,,52.28,27.25,BY01,165
BYBr115,4,45,83,SP,GL,Bg,10YR6/3,10YR7/3,M,V,96,2,2,S,5.2,,,,,,,,,6.2,2,0.1,0,0,1.54,,,,,,52.28,27.25,BY01,165
BYBr115,5,83,160,,GL,Cg,6/5GY,7/5GY,M,V,96,2,2,S,5.4,,,,,,,,,6.4,1,0.4,0,0,1.64,,,,,,52.28,27.25,BY01,165
BYBr145,1,0,28,,,Ap,10YR3/2,10YR4/2,G,V,41,59,0,SIL,4.8,,,,,,,,,4.8,10,0.9,0,0,1.48,,,,,,53.32,25.78,BY01,180
BYBr145,2,28,65,AR,TO,EB,10YR5/2,10YR6/2,B,N,43,57,0,SIL,5.3,,,,,,,,,5.9,2,0.2,0,0,1.61,,,,,,53.32,25.78,BY01,180
BYBr145,3,65,105,AR,TO,B,5YR6/4,5YR7/4,P,V,57,43,0,SL,5.6,,,,,,,,,4.6,2,0.2,,0,1.86,,,,,,53.32,25.78,BY01,180
BYBr145,4,105,185,,,C,5YR4/4,5YR5/4,P,V,55,45,0,SL,5.9,,,,,,,,,4.9,,,,0,1.88,,,,,,53.32,25.78,BY01,180
BYBr15K,1,0,20,HI,FL,Hi,10YR2/2,10YR3/2,,,,,,,5.9,,,,,,,,,,,35.6,,0,0.18,,,,,,52.12,27.2,BY01,135
BYBr15K,2,20,50,HI,FL,H2w,10YR3/3,10YR4/3,,,,,,,5.7,,,,,,,,,,,30.4,,0,0.14,,,,,,52.12,27.2,BY01,135
BYBr15K,3,50,80,HI,FL,H3w,10YR2/1,10YR3/2,,,,,,,5.9,,,,,,,,,,,36.8,,0,0.19,,,,,,52.12,27.2,BY01,135
BYBr15K,4,80,90,,,Cg,10YR6/2,10YR7/2,M,N,98,2,0,S,6.2,,,,,,,,,,,,,0,1.62,,,,,,52.12,27.2,BY01,135
BYBr1K,1,0,31,,,Ap,5YY6/1,5Y7/1,B,V,68,28,4,SL,6.9,,,,,,,,,5.8,12,1,,0,1.38,,,,,,52.57,23.75,BY02,180
BYBr1K,2,31,57,,,EB,5Y7/6,5Y8/6,M,V,73,22,5,LS,5.3,,,,,,,,,2.1,2,0.2,0,0,1.64,,,,,,52.57,23.75,BY02,180
BYBr1K,3,57,185,AR,TO,BC,5Y6/6,5Y7/6,M,C,81,8,11,LS,6.4,,,,,,,,,9.1,1,0.1,,0,1.55,,,,,,52.57,23.75,BY02,180
BYBr1-2,1,0,28,,,Ap,10YR5/1,10YR6/1,M,V,55,40,5,SL,5.6,,,,,,,,,5.6,12,1,,0,1.42,,,,,,52.27,23.5,BY02,180
BYBr1-2,2,28,42,,,EB1,10YR6/2,10YR7/2,M,V,50,40,10,L,5.3,,,,,,,,,4.1,3,0.2,0,0,1.44,,,,,,52.27,23.5,BY02,180
BYBr1-2,3,42,175,AR,TO,B2,10YR5/6,10YR6/6,M,V,55,23,22,SCL,5.4,,,,,,,,,9.8,1,0.1,0,0,1.63,,,,,,52.27,23.5,BY02,180
BYBr1-4,1,0,30,,,Ap,10YR5/1,10YR6/1,G,V,66,31,3,SL,6.6,,,,,,,,,6.4,9,0.8,,0,1.48,,,,,,52.25,23.25,BY02,160
BYBr1-4,2,30,50,,,EBw,10YR5/2,10YR6/2,M,V,64,32,4,SL,6.6,,,,,,,,,2.9,1,0.1,,0,1.61,,,,,,52.25,23.25,BY02,160
BYBr1-4,3,50,62,,,Eg,10YR7/2,10YR8/2,M,F,73,23,4,SL,5.5,,,,,,,,,2.4,1,0.1,0,0,1.58,,,,,,52.25,23.25,BY02,160
BYBr1-4,4,62,187,AR,TO,B,10YR5/6,10YR6/6,M,F,62,24,14,SCL,6.4,,,,,,,,,7.5,,,,0,1.76,,,,,,52.25,23.25,BY02,160
BYBr2195,1,0,4,,,O,2.5Y3/2,2.5Y4/2,,,,,,,3.6,,0,,,,,,,28.5,463,38.3,0,0,,,,,,,52.95,25.6,BY03,175
BYBr2195,2,4,27,,,EAh,2.5Y4/1,2.5Y5/1,M,V,87,13,0,LS,3.4,,0,,,,,,,12.7,11,1,0,0,1.3,,,,,,52.95,25.6,BY03,175
BYBr2195,3,27,60,SP,HU,Bh,10YR3/3,10YR4/3,M,V,90,10,0,S,4,,0,,,,,,,8.1,13,1.2,0,0,1.36,,,,,,52.95,25.6,BY03,175
BYBr2195,4,60,190,SP,GL,Bg,2.5Y4/3,2.5Y5/3,M,V,97,3,0,S,4.4,,0,,,,,,,7.1,2,0.1,0,0,1.61,,,,,,52.95,25.6,BY03,175
BYBr25,1,0,5,,,Ah,5Y6/2,5Y7/1,M,F,66,28,6,SL,4.1,,0,,,,,,,14,21,1.8,0,0,1.1,,,,,,52.65,25.88,BY01,150
